SYNTAX	DESCRIPTION	CLASS	CATEGORY	KEYWORDS
<˘⍉y2	Table to list of column lists (inverted table)	Expression	Structural	split table lists into columns vertically column-wise columnwise boxed enclosed table matrix transforming transformation change changing into inverting inversion
⍉∘+n2	Conjugate Transpose	Tacit	Linear Algebra	self-adjoint selfadjoin Yᴴ y^H y† y^† Aᴴ a^H a† a^†
⍉⊸≡y2	Is y2 a symmetric matrix?	Tacit	Linear Algebra	testif
⟨⟩⍉y	Convert y to array (enclose if atom)	Expression	Structural	leftshoeunderbar encloseifsimple conditionalenclose boxsimple eis condenclose
@+13‿10	Carriage Return-Line Feed pair (CRLF)	Constant	Text	\r\n U+0DU+0A 0x0D0x0A \u0D\u0A ≢0D≢0A enter linebreak windows
name1‿name2⌽↩	Swap variable values	Expression	Assignment	leftarrow get are copula let redefine redefining list renaming denote mean unpacking redistributing redistribution vector exchange exchanging swapping variables
32+1.8×n	Celsius to Fahrenheit	Expression	Specialty	°Fahrenheit °Celsius f2c() ftoc() converting change changing
π×m×n	Area of cone with height m and radius n, excluding base	Expression	Geometric	lengths bottom
⌊0.5+n	Round to nearest integer, ties towards ∞	Expression	Rounding	precision favoring whole number favoring closestinteger nearestinteger nint()
π×n⋆2	Area of circle with radius n	Expression	Geometric	length
'0'+d	Translate digit numbers to characters	Expression	Text	base-2 base2 binary Boolean decimal converting change changing
d-'0'	Translate character digits to numbers	Expression	Text	base-2 base2 binary Boolean decimal converting change changing
d-'a'	Convert lowercase letters to their positions in the alphabet	Expression	Text	nth ordinals Conversion converting change changing
'''	Quote character	Constant	Text	apostrophe ’ U+27 0x27 ≢27 quotationmark prime singlequoted in string symbol escape literal
(a×i1)↓y	Conditional drop of i1 elements from array y only if a is true	Expression	Structural	major cells items delete remove without
∾↑¨↓y1	All possible slices of y1 ordered by starting index	Expression	Selection	sub-strings substrings sub-vectors sub-sequences subsequences segmented sub-lists partitioned sublists
(a1+1)/y	Duplicate y cells where indicated by a1	Expression	Structural	replicate double items elements
(i0⥊0)↓y	Increase rank of y to i0	Expression	Structural	number dimensions axes
1↓⥊x0∾˘y2	Table to list using x0 as delimiter	Expression	Structural	vectorise vectorize serialise serialize list table
1↓⥊x0≍˘y1	Insert x0 in between each pair of elements of list y1	Expression	Structural	combine merge list string character joiner joining merging combining
⊑1↑0⥊<y	Convert to fill element, replacing numbers with 0 and characters with space	Expression	Structural	prototype ⍷ datatypeof 0s zeroes spaces blanks zeros falses falsehoods
<∘∾˘y2	Turn a table of lists into a list of lists by joining each row	Tacit	Structural	format merge along rows concatenate lines each
1«»⊸≠y1	Which elements differ from next ones	Expression	Data	testif neighbouring neightbors neighboring neighbours neighbors righthand cells items 1s trues truths
1«»⊸≠y1	Indicate end of each group of consecutive equal elements	Expression	Partitioning	runs sequences Boolean major cells items indicate masking indicating trailing binary base-2 base2
2×↕⊸∾j0	Even integers from 0 to 2×j0	Expression	Sequences	numbers 1st
∾x1⊸∾¨y1	Join list of lists y1 using separator x1, including leading separator	Expression	Structural	text with using string list joiner combiner joining combining merge merging
i0-⊸↑j0⥊1	Suffix List: length i0 with j0 ones on the right, the rest zeroes	Expression	Sequences	1s 0s zeros Is𝕩Js falses falsehoods trues truths
a1/¨⊸⊔y	Partition y along each axis by list of partition length lists a1	Tacit	Structural	chop split cut separate chunk segmented sub-matrices submatrices sub-tables subtables partitioned block-matrix table dimensions blockmatrix
1»≠⟜«y1	Which elements differ from previous ones	Expression	Data	testif neighboring neighbours neighbors lefthand cells items 1s trues truths
1»≠⟜«y1	Indicate start of each group of consecutive equal elements	Expression	Partitioning	runs sequences Boolean major cells items indicate masking indicating starting starts beginnings leading binary base-2 base2
-⟜»/i1	Segment lengths given the number of segments that end at each position	Expression	Partitioning	chunk trailing converting change changing segments partitions
i0⥊⟜0⊸»y1	Shift y1 right by i0, padding on left	Tacit	Selection	rightshift list
i0⥊⟜0⊸«y1	Shift y1 left by i0, padding on right	Tacit	Selection	leftshift list
¬j0↑/⁼i	Boolean list of length j0 with zeros in locations i	Expression	Boolean	zeroes 0s falses falsehoods list binary base-2 base2
⌈⌜˜↕j0	Maximum table of 0…j0-1	Expression	Arithmetic	matrix
=⌜˜↕j0	Identity matrix of order j0	Expression	Linear Algebra	unitmatrix table
≠⌜˜↕j0	Non-diagonal matrix of order j0	Expression	Linear Algebra	nondiagonal table
<⌜˜↕j0	Upper triangular matrix without diagonal: j0 by j0	Expression	Linear Algebra	triangle NE northeast north-east table remove strict
>⌜˜↕j0	Lower triangular matrix without diagonal: j0 by j0	Expression	Linear Algebra	triangle SW southwest south-west table remove strict
≤⌜˜↕j0	Upper triangular matrix with diagonal: j0 by j0	Expression	Linear Algebra	triangle NE northeast north-east table
≥⌜˜↕j0	Lower triangular matrix with diagonal: j0 by j0	Expression	Linear Algebra	triangle SW southwest south-west table
×´1+↕i0	Factorial of natural number i0	Expression	Combinatorics	countpermutations exclamation bang shriek combinatorics fact() gamma() Γ
×´1↓≢y	Number of elements in a major cell of y	Expression	Array	shape items
×´¯1↓≢y	Number of rows (1-cells) in array y	Expression	Array	list
-´m1×⌽n1	Scalar cross product of 2-dimensional vectors m1 and n1	Expression	Geometric	 vectorproduct signed area parallelogram
+´×˜n1	Sum of squares of n1	Expression	Data	∑x² Σx² sum(x^2) Pythagorean trigonometry
3÷˜×´n1	Volume of pyramid with height, width, length n1	Expression	Geometric	lengths sides
+´⥊x0=y	Number of occurrences of atom x0 in array y	Expression	Search	count tally
¬∧´⥊b	Not all true?	Expression	Boolean	notall somenot all?
¬∨´⥊b	Are none true?	Expression	Boolean	testif theredoesnotexist ∄
+´∘|n	Sum of magnitude of n	Tacit	Data	absolutesummation sumabs
⌈´∘|n	Infinity-norm	Tacit	Geometric	L∞-normal L-∞ ℓ∞ ℓ-∞ Linf
+⟜÷´n	Evaluate continued fraction with terms n	Tacit	Mathematical	series sequence
+´⌾÷n1	Ohm's Law: resistance of parallel resistors/capacitance of serial capacitors	Tacit	Specialty	electronics electrics circuits Ω series inparallel
∧˝˘x2=y0	Boolean rows of x2 all equal to unit y0	Expression	Search	findall lookup binary base-2 base2 compare equality match
∨˝˘x0≠y2	Do rows of y2 contain elements differing from x0?	Expression	Search	testif hasdifferent cells items
∾˝i0/≍y	Repeat all of y i0 times along the first axis	Expression	Structural	duplicate copying extending recycling recycle list
⊣`⊸≡y	Are all major cells of y identical?	Tacit	Search	testif allsame? allequal? nounique? items elements allidentical allequal
a1+`⊸⊔y	Partitioned y at 1s in a1 along first axis	Tacit	Selection	chop split cut separate chunk sub-vectors segmented sub-lists subvectors sublists dimension
+´∧`b1	Count of leading ones	Tacit	Boolean	1s trues truths at start beginning
÷1+⋆-n	Logistic function, approaching 0 for small n and 1 for large n	Expression	Mathematical	standard sigmoid curve limited exponential population growth
⌊1+i⋆⁼j	Length to represent j in base i	Expression	Mathematical	width representation required digits positions
2÷˜1+√5	Golden ratio	Constant	Mathematical	phi φ ϕ ɸ 1.618033988749894848204586834365638 0.618033988749894848204586834365638
⊑/¬x∊y	Position of first element in x not in y	Expression	Search	cell element 1st
∊⟜c⌾<d1	Is string d1 a member of list of strings c	Expression	Search	isin membership containedin has vtv vector
¬∧´∊y	Are any two major cells of y identical to each other?	Expression	Search	testif anysame? anyequal? anyduplicates? anyidentical? anydups? items elements
∧´x1∊˜y1	Is x1 a superset of y1?	Expression	Sets	testif superset? contains ⊇
c⊸⊐⌾<d1	Position of first occurrence of string d1 in list of strings c	Expression	Search	indexin indexof vtv vector 1st
m ⌊⟜-⍟2 n	Clamp numbers n to range (-m)≤n≤m	Expression	Data	force restrictrange between ±m
+`⍟2↕j0	First j0 triangular pyramidal numbers	Expression	Sequences	figurative tetrahedral oeisA000292 oeisA292 1st
¬∘a0◶F‿G y	Ternary: if a0 then apply F to y else apply G to y	Tacit	Function Application	conditionaloperator inlineiff ternaryiff ?:
x⊏˜⍋⍋y	Reorder x to match the ordering of y	Expression	Ordering	meshing sorting reordering ordering
1=x⌽⊸⍒y	Are cells of y within the range ( x_0 , x_1 ]?	Expression	Data	testif <y≤ <x≤ tao totalarrayordering interval inrange?
1≠x⌽⊸⍒y	Are cells of y outside the range ( x_0 , x_1 ]?	Expression	Data	testif ≥y> ≥x> tao totalarrayordering interval outsiderange?
<˘⍉>y1	Invert list of lists, so that element i of j of the result is j of i of y1	Expression	Structural	transpose transposing vtv cell element 1st lists zip() remixing zipping merging interweave interweaving interleave interleaving shuffle shuffling meshing
⍉i0‿⌽⥊y1	Reshape y1 to i0-column table, filled column-wise	Expression	Structural	table vertically columnwise columns
1⍉˘m2×⌜n2	Direct matrix product	Expression	Linear Algebra	table
@+31↓↕126	Printable ASCII characters	Expression	Text	characters
f{𝕎𝕩}y	Function to apply f to y as a function	Block Function	Function Application	call tacit dynamic value subject
1.8÷˜¯32+n	Fahrenheit to Celsius	Expression	Specialty	°Fahrenheit °Celsius c2f() ctof() converting change changing
m ×⎉1‿∞ n	Mid product of m and n	Tacit	Arithmetic	midproduct
'0'+↕10	The digits from 0 to 9	Constant	Text	123456789 numbers arabicnumerals 0-9 0123456789
'a'+↕26	The letters from a to z	Constant	Text	abcdefghijklmnopqrstuvwxyz latinalphabet englishletters uppercase a-z ABCDEFGHIJKLMNOPQRSTUVWXYZ
m0(+≍-)n0	m0±n0	Tacit	Arithmetic	plusminus
m0(-≍+)n0	m0∓n0	Tacit	Arithmetic	minusplus
(×m)×|n	Transfer sign, n with the sign of m	Expression	Data	signum resign
1(↑⋈↓)y	First element (as list) and remaining elements	Expression	Structural	headtail split divide separate dividing leading
i0(↑⋈↓)y	First and last i0 major cells of y	Tacit	Structural	headtail split divide separate dividing first leading remaining
m(⊢-|)n	Largest whole multiple of m less than or equal to n (n rounded down to closest smaller multiple of m)	Tacit	Data	without less nodivisionremainder bar() noresidual intmultiples smaller ≤ integer unit floor
(0¨≢x)↓y	Increase rank of y to rank of x	Expression	Structural	conform align number dimensions axes
i0⊑/x≡¨<y	Position of the i0'th instance of y in x	Expression	Search	nthindexin nthindexof nthposition
1¨∘⊏⊸∾y	Preface a row of 1s	Tacit	Data	ones trues truths
↕⊸∾⊸÷j0	Endpoints when [0,1] is split into j0 intervals (including 0 and 1: j0+1 total)	Tacit	Sequences	unit normalized steps linear divide
F⌾(¯1⊸⊏)y	Apply function F to last cell of y	Tacit	Function Application	onlast item element
x⌾(¯1⊸⊏)y	Replace last major cell of y with x	Expression	Structural	substitute merge amend replace update item element
+⌜˜1+↕j0	Addition table for numbers up to j0	Expression	Arithmetic	additiontable cartesianaddition plustable matrix integers
×⌜˜1+↕j0	Multiplication table for numbers up to j0	Expression	Arithmetic	multiplicationtable cartesianproduct timestable matrix integers
2×+´n1×1⌽n1	Surface area of box with side lengths n1	Expression	Geometric	block edge lengths
i1>⌜↕⌈´i1	Matrix with i⊑i1 leading ones on row i	Expression	Linear Algebra	1st trues truths first table start beginning
i1≤⌜↕⌈´i1	Matrix with i⊑i1 leading zeroes on row i	Expression	Linear Algebra	0s zeros falses falsehoods table start beginning
=⌜○↕´j1	Diagonal matrix of size j1 (m‿n)	Expression	Linear Algebra	mono-diagonal banded
»⊸<∨`b	Turn off all 1s after first 1, or indicate only the first 1	Expression	Boolean	indicating flipping turning change changing inverting negating bitmask bit-mask zeros zeroes falses ones trues truths falsehoods 1st mask
»⊸≤∧`b	Turn on all 0s after first 0, or indicate all elements except the first 0	Expression	Boolean	indicating flipping turning change changing inverting negating bitmask bit-mask zeros zeroes falsehoods 1st mask not
a1+`¨⊸⊔y	Partition y along each axis by list of partition indicators a1	Tacit	Partitioning	chop split cut separate chunk segmented sub-matrices submatrices sub-tables subtables partitioned block-matrix table dimensions blockmatrix
+´∧`x=y	Count number of leading elements that are equal	Expression	Search	matching onleft cells items start beginning
+´∧`x≠y	Count number of leading elements that are unequal	Expression	Search	different onleft cells items start beginning
+´∧`⌽b1	Count of trailing ones	Expression	Boolean	0s zeroes falses at end
+`+`↕j0	First j0 figurate numbers	Expression	Sequences	1st
10⊸(⋆⁼)n	Common logarithm	Tacit	Arithmetic	log() log-10 log10() 10-log₁₀() lg() lg-10 lg10() 10-lg₁₀()
x(∊/⊣)y	Intersection: major cells of x that appear in y	Tacit	Sets	setand items elements
x0(⥊≍⎉0)y1	Insert x0 after each element of y1	Tacit	Structural	cell item
x ∧˝∘=⎉1 y1	Compare list y1 with rows of array x	Tacit	Search	list compare equality match
x F⍟(↕1+y0) z	Apply F y0 times to z, returning initial value z and all intermediate results	Tacit	Function Application	apply application repeated converge repeating looping power intermediaries intermediate all sequence
x{𝔽𝔾⊢}y	Church Boolean AND	Block Modifier	Functional	∧ conjunction caret wedge hat circumflex Kpq
x{⊣𝔽𝔾}y	Church Boolean OR	Block Modifier	Functional	∨ disjunction vel alternation Caron hacek invertedcircumflex checkmark hachek Apq
x{𝔽𝔾⊣}y	Church Boolean Converse Implication	Block Modifier	Functional	≥ because ∵ ⇐ if converseconditional Bpq reverseimplying
x{𝔾𝔽⊣}y	Church Boolean Implication	Block Modifier	Functional	≤ materialconditional materialconsequence implies implying materialimplication therefore ∴ ⇒ Cpq
⍋≠⊸⋈¨y1	Ascending shortlex grade	Expression	Ordering	radix length-lexicographic lengthlexicographic military genealogical
y/˜i0>⍋⍋y	The i0 smallest cells of y in order of occurrence	Expression	Ordering	least items elements
⍒≠⊸⋈¨y1	Descending shortlex grade	Expression	Ordering	radix length-lexicographic lengthlexicographic military genealogical ordering sorting
y/˜i0>⍋⍒y	The i0 largest cells of y in order of occurrence	Expression	Ordering	biggest greatestif items elements
⍷∘∧⊸⊐y	Densely rank y ascending: tied cells share a rank, no ranks skipped	Tacit	Ordering	rising up ordinals cardinals list
⍷∘∨⊸⊐y	Densely rank y descending: tied cells share a rank, no ranks skipped	Tacit	Ordering	falling down ordinals cardinals list
(⍉≡+)n2	Is n2 a Hermitian matrix?	Tacit	Linear Algebra	testif Hermitian? self-adjoint? selfadjoint? Yᴴ y† Aᴴ a†
(-≡⍉)y2	Is y2 an anti-symmetric matrix?	Tacit	Linear Algebra	testif antisymmetric skewsymmetric skew-symmetric
0¨∘≢⊸⍉y	Main diagonal of any rank array	Tacit	Selection	maindiagonal nwse nw-se majordiagonal
∧˘⌾⍉⎉2 y	Sort each column in ascending order	Tacit	Ordering	up increasing sorting reordering ordering
∧´d≤@+127	Is string d ASCII-only?	Expression	Text	plain exclusively
(2×π)×n	Circumference of circle with radius n	Expression	Geometric	edge length
(180÷π)×n	n Radians in Degrees	Expression	Trigonometry	
(π÷180)×n	n Degrees in Radians	Expression	Trigonometry	
4×π××˜n	Area of sphere with radius n	Expression	Geometric	length ball
π×4÷3÷n⋆3	Volume of sphere with radius n	Expression	Geometric	length ball
⍉>x1‿y1‿…	n-column table from n lists	Expression	Structural	transpose columns table lists
∧˝' '=d2	Mask for blank columns	Expression	Text	spaces empty filter indicate masking indicating blanks bitmask bit-mask
⊐⟜' '˘d2	Indices of first space in each row of text table d2	Tacit	Search	1st blanks row-wise rowwise text horizontally
(××m+|)n	Increase absolute value of n by m without change of sign	Expression	Data	adjust decrease magnitude preserve signum direction remove changing converting conversion
y/˜0=i0|↕≠y	Keep every i0'th major cell of y	Expression	Selection	nth element item
y/˜0≠i0|↕≠y	Remove every i0'th cell of y	Expression	Selection	filter item element
(x⌊≠y)⊏y∾i	Select major cells at indices x from y, using cell i for indices beyond the end	Expression	Selection	fallback indexing trailing ending
(i0|↕≠y)⊔y	Distribute major cells of y into i0 groups round-robin	Expression	Partitioning	unzip elements items deal
(⌊⋈1⊸|)n0	Integral and fractional part of positive number	Tacit	Mathematical	parts split whole decimals
¯97⊸(|-⊣)i0	SWIFT check digit from i0 bank number	Tacit	Finance	correct validate
(↕÷-⟜1)j0	j0 evenly spaced numbers starting at 0 and ending at 1	Tacit	Sequences	unit normalized steps linear divide inclusive
x0¨⌾(b1⊸/)y1	Replace elements of y1 with x0 where b1 is 1	Tacit	Structural	substitute merge amend replace update major cells items indicate masking indicating
÷1++⌜˜↕j0	Hilbert matrix of order j0	Expression	Linear Algebra	table sorting reordering ordering
(+´÷≠)n	Arithmetic mean of n	Tacit	Statistical	average arithmeticmean() AM() avg() mean()
1+´0=↕⊸|j0	Number of positive divisors of j0	Expression	Number Theory	sigma_0(n) tau(n) sigma0 σ₀(n) d(n) ν(n) τ(n) oeisA000005 oeisA5
m⊸×⊸+˜´n1	Value of polynomial with ascending coefficients n1 at points m (Horner's method)	Expression	Polynomial	
i1>⌜⌽↕⌈´i1	Matrix with i⊑i1 trailing ones on row i	Expression	Linear Algebra	1st trues truths first table ending
i1≤⌜⌽↕⌈´i1	Matrix with i⊑i1 trailing zeroes on row i	Expression	Linear Algebra	1s 0s zeros ones falses falsehoods trues truths table ending
1=-⌜○↕´j1	Subdiagonal matrix of size j1	Expression	Linear Algebra	sub-diagonal
¯1=-⌜○↕´j1	Superdiagonal matrix of size j1	Expression	Linear Algebra	super-diagonal
=⌜○↕´≢n2	Identity matrix with shape of table n2	Expression	Linear Algebra	diagonal table
≠⌜○↕´≢n2	Anti-diagonal matrix with shape of table n2	Expression	Linear Algebra	nondiagonal table
(+˝÷≠)n	Column-wise arithmetic mean of n	Tacit	Statistical	average arithmeticmean() AM() avg() mean()
(⊢-⌊˝)n	Normalise n so that minimum value is 0	Tacit	Data	normalize zero smallest least cell element
(⊢÷+˝)n	Normalise n so that sum is 1	Tacit	Data	normalize one
(⊢=⌈˝)n1	Mask of positions where the global maximum occurs in n1	Tacit	Search	indicate where equal to maxima maximums location masking indicating
x(∾˝≍˘)y	Merge cells of equal-length arrays x and y alternately	Tacit	Structural	faro weave dovetail zipper zipping merge interweave interweaving interleave interleaving shuffle shuffling meshing lists zip()
-´×⟜⌽˝n2	Determinant of two-row matrix	Expression	Linear Algebra	det() 2-row 2row table
(i0=+`b1)/y1	The i0'th sublist of y1 with sublists indicated by b1	Expression	Selection	
|¯11|+´+`j1	ISBN check digit generator from ten first digits j1	Expression	Specialty	InternationalStandardBookNumber correct validate 1st
+´∧`⌽x=y	Count number of trailing elements that are equal	Expression	Search	matching onright cells items ending
+´∧`⌽x≠y	Count number of trailing elements that are unequal	Expression	Search	different onright cells items ending
F´¨i1+`⊸⊔y	Segmented reduction	Expression	Function Application	partionedreduction sub-vectors partitioned sub-lists subvectors sublists
∧˝⌈`⊸=n	Mask of which columns of n are in ascending order?	Expression	Ordering	testif vertical raising? sorted? growing?
∧˝⌊`⊸=n	Mask of which columns of n are in descending order?	Expression	Ordering	testif vertical falling? sorted? shrinking?
⌊1+10⋆⁼1⌈|j	Number of base-10 digits of each integer in j	Expression	Mathematical	positions width representation
(≠√×˝)n	Geometric mean	Tacit	Statistical	average GM() G() geometricmean
∧´∘⥊y∊0‿1	Is y an array of booleans?	Expression	Boolean	testif binary base-2 base2
i+⊑(i↓b)⊐1	Index of first one after index i0 in b1	Expression	Search	1st
x1(⥊∾⎉1‿0)y1	Insert x1 before every element of y1	Tacit	Structural	merge cell item
⥊1‿0‿1∧⌜⍟j0 1	Cantor set iteration j0	Expression	Geometric	fractal ternary middle third
x{⊢𝔽𝔾˜}y	Church Boolean NOR	Block Modifier	Functional	⍱ peirce'sarrow quine'sdagger ampheck neithernor jointdenial Xpq ⊽
x{𝔽˜𝔾⊢}y	Church Boolean Converse Nonimplication	Block Modifier	Functional	< ⇍ Mpq
x{𝔾˜𝔽⊢}y	Church Boolean Nonimplication	Block Modifier	Functional	> abjunction ⇏ not butnot Lpq
x{𝔽˜𝔾⊣}y	Church Boolean NAND	Block Modifier	Functional	⍲ shefferstroke notand andtilde carettilde alternativedenial Dpq ⊼
{𝔽˜𝔾𝔽}	Church Boolean XOR	Block Modifier	Functional	≠ exclusivedisjunction eor exor ⊕ ⊻ ⇎ Jpq
{𝔽𝔾𝔽˜}	Church Boolean XNOR	Block Modifier	Functional	= materialbiconditional biimplication eqv nxor bothorneither exclusivenor materialequivalence ⇔ δ ẟ Kroneckerdelta iff logicalequivalence Epq doubleimplying
x(¬⍋⌾⋈)y	Is x lexically greater than y?	Tacit	Ordering	testif tao totalarrayordering after follows ≻ ⋠ ⋩ lexicographically succeeds
(⌽⍒/i1)⊏y	Reverse sublists of y having lengths i1	Expression	Partitioning	
x(¬⍒⌾⋈)y	Is x lexically less than y?	Tacit	Ordering	testif totalarrayordering tao before precedes ≺ ⋡ ⋨ lexicographically
(1=⊒)⊸/y	Distinct major cells that appear at least twice	Tacit	Search	duplicated duplicates nonunique items elements
(⊐⊏F∘⍷)y	Apply deterministic cell-wise F to cells of y, avoiding extra calls for duplicate cells	Tacit	Function Application	performance memoisation memoization quick speed
=⌜˜⟜⍷⊐y	Table of which unique matches each major cell of y	Expression	Search	nub distinctitems uniqueelemenets matrix items elements
x1⌾(0‿0⊸⍉)y2	Matrix y2 with main diagonal changed to x1	Expression	Linear Algebra	inplace update table
f{𝕎𝕩}¨<y	Apply each function in f to the whole of y	Expression	Function Application	functions each every list gerund elements collect
•rand.Deal∘≠⊸⊏y	Randomly reorder (shuffle) cells of y	Tacit	Random	permutation knuth fisher yates
•rand.Range∘≠⊸⊏y	Random cell of y	Tacit	Random	deal one select
•rand.Range∘≠⊸⊑y1	Random element of list y1	Tacit	Random	deal one select
' '⊸≠⊸/d1	Remove spaces from string	Tacit	Text	deletespaces blanks drop without
∧˝˘' '=d2	Mask indicating all-blank rows of table d2	Expression	Text	spaces empty filter indicate masking indicating blanks bitmask bit-mask
+˝˘' '≠d2	Lengths of words in table d2 if padded with trailing spaces	Expression	Text	spaces blanks count varchar
∨`˘' '≠d2	Locate leading spaces in rows of table d2	Expression	Text	blanks beginning mask indicate indications start bitmask bit-mask
(d1⊐' ')↑d1	First word in d1	Expression	Text	initial leading leftmost nonspace non-space 1st start beginning
"ASSERTION FALURE"!∧´⥊b	Signal an error if any condition is not met	Expression	Errors	throw
m(⊣+a×-˜)n	Select each element from m where a is 0 and from n where it's 1	Tacit	Selection	conditional selector meshing merge cells items indicate masking indicating
(⊢F¨¨1↓↓)n1	Apply F to all pairs of distinct elements in n1, reverse order	Tacit	Function Application	all-pairs combinations ordered every each
(⊢F¨¨1↓↑)n1	Apply F to all pairs of elements in n1 including self-pairs	Tacit	Function Application	all-pairs combinations ordered every each
i0(⊢/˜0=|)j1	Elements of j1 divisible by i0	Tacit	Number Theory	filter divisors cells items
(↕∘≠≡∧)y1	Is y1 permutation?	Tacit	Combinatorics	testif
(××⌊∘|)n	Round towards zero	Tacit	Rounding	0 truncate whole number integer int() trunc() chop clamp
1(↓--⊸↓)n	Deltas: (n_1-n_0)(n_2-n_1)(n_3-n_2)…	Expression	Data	pairwisedifferences changes steps
1(↓÷-⊸↓)n	Ratio of each number in a list to its predecessor: (n_1÷n_0)(n_2÷n_1)(n_3÷n_2)…	Expression	Data	pairwiseratios vector
m(⊣+-⊸|)n	Residue after dividing n by m but replacing 0 with m	Expression	Data	modulo modulus divisionremainder 12hourclock divide
(↕¯1⊑≢)⊸∾y2	Attach column numbers to a table	Tacit	Indices	headings table
m1⊸+¨n1⊸×¨↕j1	Multi-dimensional arithmetic progression with dimensions j1 starting at m1 with steps n1	Expression	Sequences	sequence seq() multidimensional axes
m(≤⟜|×⊢)n	Round to zero values of n within m of zero	Tacit	Rounding	precision fuzz 0
∾⟜(1¨∘⊏)y	Append a row of 1s	Tacit	Data	ones trues truths
x⊣⌾(b1⊸/)˜y	Merge x and y using b1 (1 for x's element, 0 for y1's element)	Tacit	Structural	faro weave dovetail zipper zipping merging interweave interweaving interleave interleaving shuffle shuffling meshing alternative choose indicate masking indicating elements items major cells bitmask bit-mask
⌽⌾(0‿¯1⊸⊏)y	Swap first and last major cells	Tacit	Structural	exchange swap head tail leading trailing elements items 1st start beginning ending
(+´÷1⌈≢)n1	Average, returning 0 if empty	Tacit	Statistical	arithmeticmean
m1(+´|∘-)n1	Manhattan distance between two points in n-space	Tacit	Geometric	taxicab L1 L-1 L1-distance ℓ1 ℓ-1 ℓ₁ L¹ d()
×´1+i0-⊸↑↕j0	Number of ordered selections (permutations) of i0 items from j0 choices	Expression	Combinatorics	combinatorics permutations
10⊸×⊸+˜´⌽d1	Natural number from base-10 digits	Expression	Mathematical	frombase10 base-10 dec() decimal Conversion converting change changing
2⊸×⊸+˜´⌽d1	Natural number from binary representation	Expression	Mathematical	frombase2 base-2 binary Conversion converting change changing
+⟜÷´¨1↓↑n1	Continued fraction convergents with terms n1	Expression	Mathematical	series sequence
+´⌾(×˜)n1	Length of vector n1	Tacit	Geometric	absolute value magnitude distance from origin 0 zero
⥊+⌜´i0⥊<↕10	Sum of digits of the first 10⋆i0 numbers	Expression	Sequences	sod()
1≥|-⌜○↕´j1	Tridiagonal matrix of size j1	Expression	Linear Algebra	tri-diagonal banded
2≥|-⌜○↕´j1	Pentadiagonal matrix of size j1	Expression	Linear Algebra	penta-diagonal banded
(100×⊢÷+˝)n	Column-wise percentage per column	Tacit	Data	≢ vertically columnwise
≠˝0=400‿100‿4|⌜j	Is year j a leap year?	Expression	Specialty	testif gregoriancalendar 29thfeb29 29february29th
0⌈´0(0⌈+)`n1	Largest sum of any contiguous sublist	Expression	Data	maximum subarray sublist sub-array sub-list sub-vector biggest highest kadane's kadanes algorithm
∾F`¨a1+`⊸⊔y	Segmented scan: like F` but starting over whenever indicated by a1	Expression	Function Application	cumulativereduce rowwise sub-vectors sub-lists partitioned subvectors sublists row-wise horizontally
i0(×⥊⊢↑1˙)j0	Mark starting points for i0 sublists of width j0	Tacit	Partitioning	segmented partitioned vector starts beginnings list
k˙⌾(i‿j⊸⊑)y2	Replace element i,j of matrix y2 with k	Tacit	Structural	modify change at index
n1+´∘×m0⋆↕≠n1	Value of polynomial with ascending coefficients n1 at point m0	Expression	Polynomial	
(2⊸⋆+¯1⊸⋆)j0	Jacobsthal-Lucas number	Tacit	Mathematical	sequence Édouard Edouard Ernst j(n) A014551() A14551()
x(¬∘∊/⊣)y	x without major cells that appear in y	Tacit	Sets	butnot except setdifference setsubtraction setminus ∖ removing remove delete drop
(∊∧∊⌾⌽)y	Indicate which cells of y appear exactly once	Tacit	Search	unique indication indicate items masking indicating
⊏⟜(/⁼)⊐y	Indicate number of cells matching each cell of y	Expression	Search	count duplicate repetitions appearances
(⊑⊢⊐⌈´)n1	Index of maximum value in n1 (linear time)	Tacit	Search	greater larger bigger greatest biggest largest highest
(⊑⊢⊐⌊´)n1	Index of minimum value in n1 (linear time)	Tacit	Search	lesser smaller smallest lowest least
+´¨(⊐x1)⊔n1	Sum n1 by buckets x1 (≠n1 ↔ ≠x1)	Expression	Data	groups classify bins
x1(⥊∾⎉0‿1˜)y1	Insert x1 after every element of y1	Tacit	Structural	merge cell item
i0/⟜≍⎉(-m0)y	Create a new axis of y before axis m0, and replicate to length i0	Tacit	Structural	copying repeating replicate replication add dimension increase incrementing rank by 1 one insertion inserting extending extension
x F⎉(-⌊○=) y	Apply F with leading axis agreement	Tacit	Function Application	conformity conforming axes frames major minor cells
(+˝∧`)⎉1 b	Number of leading ones in each row of b	Tacit	Boolean	ones trues truths start beginning
⊑+`∘⌽⍟n0↕2	The n0'th Fibonacci number	Expression	Mathematical	sequence series recurrence golden ratio growth rabbit population
(↕∘≠≡⍋)n	Is n non-decreasing?	Tacit	Ordering	testif ascending? increasing? rising? up ordered? sorted?
⊑∘⍋∘|⊸⊑n1	Element with the smallest magnitude (first in case of ties)	Tacit	Ordering	minimum absolute value closest nearest to 0 zero
(↕∘≠≡⍒)n	Is n non-increasing?	Tacit	Ordering	testif descending? falling? down ordered? decreasing? sorted?
⊑∘⍒∘|⊸⊑n1	Element with largest magnitude (first in case of ties)	Tacit	Ordering	maximum absolute value biggest farthest furthest away from 0 zero
